auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
6.54 14.12 15.48 14.12
8929手 9.55 9.66 9.05
20.43 7.44 8.12 7.20
8.06 5.97 6.58 5.96
28.70 4.88 5.19 4.68
11.03 13.25 13.25 13.25
56.79 4.95 5.47 4.90
92.64 3.55 3.77 3.38
4.72 7.66 8.14 7.40
7.99 12.77 14.03 12.77
6.80 5.34 5.72 5.21
5.15 4.62 4.98 4.53
3.43 6.48 6.71 6.36
36.72 5.68 5.72 5.10
11.31 5.21 5.62 5.08
3.17 9.48 10.53 9.46
7.00 6.40 7.01 6.30
69.30 3.67 3.92 3.53
-- -- -- --
52.27 2.69 2.92 2.61
79.44 4.51 4.99 4.49
8.01 5.82 6.40 5.82
14.88 23.72 24.75 22.60
13.58 38.95 42.11 37.45
16.19 24.40 26.87 24.18
24.48 4.15 4.43 4.03
2.52 23.47 25.25 23.18
2192手 26.73 27.54 26.34
15.72 11.15 12.32 11.14
29.39 13.66 13.66 12.45
23.89 7.65 8.37 7.45
27.63 4.80 5.20 4.71
-- -- 23.09 --
21.42 29.68 32.31 29.18
2.48 9.69 10.56 9.60
82.63 17.38 17.38 15.79
7.52 3.45 3.53 3.35
32.61 67.03 71.30 64.96
44.90 8.18 8.80 7.99
30.95 15.97 17.15 15.40
90.61 7.29 7.52 6.66
30.95 4.90 5.21 4.71
6.62 4.66 4.99 4.52
69.47 4.38 4.86 4.37
4.48 13.57 15.03 13.57
41.20 8.44 9.21 8.31
17.50 10.35 11.18 10.00
-- -- -- --
7.23 6.92 7.40 6.69
17.25 10.93 11.92 10.78
6.60 3.14 3.29 3.10
31.94 7.01 7.76 6.99
24.27 14.58 16.28 14.35
37.62 7.57 7.94 7.08
15.48 5.49 6.07 5.48
9.41 9.97 11.01 9.90
-- -- -- --
100.74 6.05 6.16 5.51
19.32 29.15 31.16 28.10
33.74 14.36 14.36 12.93
107.37 3.95 3.95 3.58
1.64 7.25 7.57 7.23
10.04 7.00 7.12 6.55
31.73 5.08 5.47 4.88
24.85 14.57 15.08 13.66
9.43 8.56 8.72 7.95
65.47 2.48 2.74 2.46
46.35 6.03 6.57 5.85
37.71 50.26 55.32 49.59
11.55 5.49 5.94 5.40
49.97 4.23 4.38 3.98
18.17 8.99 9.92 8.90
42.30 3.20 3.54 3.16
11.77 32.31 33.92 30.70
16.98 18.18 19.58 17.40
27.57 3.15 3.44 3.10
11.65 9.68 10.34 9.43
9.15 6.08 6.68 5.97
30.17 4.57 4.92 4.45
9.20 2.72 2.84 2.69
15.85 3.95 4.32 3.93
13.20 18.28 19.84 18.08
45.91 10.60 11.33 10.22
31.64 9.21 10.11 9.09
7.66 5.50 5.93 5.35
9.67 9.61 10.43 9.41
12.32 18.16 19.15 17.25
33.55 8.77 9.72 8.77
36.42 3.95 4.37 3.92
31.84 44.20 45.60 41.00
9.62 6.08 6.71 6.05
18.27 8.38 9.12 8.24
12.73 5.04 5.60 4.99
125.40 6.58 6.62 6.03
3.87 27.43 30.04 27.34
33.54 5.03 5.62 5.03
37.05 35.20 37.55 34.00
13.46 11.70 13.01 11.65
13.48 35.73 39.75 35.73
18.56 19.50 21.24 19.50
25.57 6.41 7.00 6.34
10.66 5.21 5.72 5.17
23.65 9.06 9.58 8.71
482.98 26.66 26.79 24.20
5.53 5.87 6.41 5.76
11.95 4.95 5.36 4.86
21.35 4.90 5.41 4.87
10.83 9.65 10.42 9.29
-- -- -- --
12.35 5.78 6.14 5.53
20.03 6.36 7.05 6.36
-- -- 8.29 --
33.01 5.36 5.36 4.84
31.25 16.74 18.52 16.59
10.07 10.85 11.99 10.83
46.19 5.63 5.63 5.13
14.65 7.07 7.66 7.02
6.11 9.41 10.34 9.35
27.82 4.13 4.51 4.10
404.89 6.28 6.28 5.99
13.21 4.03 4.44 4.03
4.35 8.48 9.33 8.48
8.56 17.19 18.93 17.19
11.84 15.50 17.02 15.48
42.87 6.75 6.94 6.26
12.46 10.10 11.03 9.95
10.84 10.15 10.95 9.95
3.57 13.30 14.67 13.13
8.05 9.26 9.68 9.02
50.11 9.75 9.96 9.21
8.28 8.01 8.57 7.70
9.65 11.17 12.36 11.15
39.69 14.69 16.25 14.55
5.00 11.48 12.01 10.91
21.46 5.39 6.03 5.32
46.88 10.98 10.98 10.04
12.96 13.28 14.42 13.14
25.39 27.77 27.95 24.61
26.82 10.77 11.63 10.67
9.39 17.58 19.45 17.57
37.71 11.90 13.16 11.80
58.89 3.09 3.34 3.00
13.83 6.07 6.66 6.00
17.78 2.43 2.57 2.34
24.42 3.56 3.67 3.43
18.98 10.02 10.95 9.94
21.46 4.60 4.86 4.60
99.66 5.16 5.16 4.86
-- -- 0.91 --
4.94 4.91 5.37 4.83
13.83 5.78 6.22 5.65
20.21 21.06 23.18 21.00
36.66 3.78 3.78 3.56
68.13 8.55 9.22 8.32
67.94 9.58 9.96 9.13
19.85 4.97 5.47 4.93
10.77 7.58 8.35 7.56
100.73 6.69 6.69 6.03
4.19 16.20 17.83 16.15
16.92 11.56 12.39 11.11
8244手 15.01 15.77 14.90
126.43 15.30 15.35 13.45
15.96 4.80 4.81 4.52
62.94 5.42 5.91 5.29
52.71 17.52 18.79 17.00
17.77 4.57 4.98 4.50
4.40 6.16 6.70 6.10
-- -- 1.52 --
37.63 5.24 5.43 4.96
28.71 10.74 11.90 10.74
6.52 124.05 132.42 119.85
33.57 13.45 14.33 13.10
21.18 4.00 4.35 3.89
3.46 12.49 13.40 12.11
63.28 29.98 31.56 27.19
18.53 8.02 8.62 7.82
12.93 10.31 11.28 10.16
2.99 27.13 29.54 26.85
3565手 30.78 33.74 30.67
7.03 24.77 26.84 24.50
24.19 12.54 13.42 12.00
16.75 16.95 18.66 16.78
89.08 16.95 18.38 16.46
4.14 6.71 7.35 6.66
17.34 2.45 2.52 2.39
4.27 9.55 10.53 9.47
54.62 8.43 9.31 8.30
25.33 3.10 3.41 3.09
7.01 6.31 6.92 6.28
5.41 5.11 5.56 5.02
49.58 5.89 5.97 5.38
-- -- -- --
4.30 11.18 12.33 11.13
6.14 16.70 18.58 16.50
29.72 5.04 5.57 5.04
39.50 6.15 6.73 6.00
17.26 12.36 12.69 11.30
