auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
45.01 5.95 6.55 5.90
7.54 7.00 7.60 6.87
6.82 17.82 18.75 17.50
64.35 8.53 9.06 8.12
4.77 10.28 11.34 10.25
10.88 6.36 7.03 6.31
16.31 46.84 51.34 46.75
8.39 6.25 6.82 6.19
4.62 14.20 15.50 14.09
102.17 19.37 21.01 19.10
36.82 7.17 7.78 7.09
69.93 6.42 7.05 6.39
12.08 11.89 13.30 11.79
19.49 4.45 4.89 4.42
139.16 12.12 13.24 11.95
6.73 3.72 4.08 3.68
43.78 14.09 15.62 14.00
16.73 4.71 4.94 4.48
9.30 16.14 17.80 16.14
15.79 5.52 6.03 5.51
64.81 20.70 22.64 20.65
39.57 4.90 5.26 4.77
82.97 4.30 4.63 4.27
15.81 3.36 3.66 3.30
21.94 5.94 6.51 5.90
47.04 9.88 10.66 9.69
11.48 5.63 6.14 5.55
17.88 5.15 5.63 5.08
29.52 12.52 13.71 12.42
9.68 15.09 16.50 15.00
39.18 17.85 19.01 16.94
37.08 14.13 14.80 13.32
163.70 1.75 1.90 1.72
-- -- -- --
255.75 3.79 4.16 3.77
-- -- -- --
20.71 13.62 14.92 13.39
-- -- 69.56 --
78.36 82.11 89.21 80.80
24.10 4.54 4.96 4.49
155.59 6.33 6.97 6.32
46.53 3.65 4.00 3.62
18.08 59.12 64.70 58.48
10.85 5.95 6.45 5.82
7.97 8.03 8.75 7.91
3.24 7.07 7.74 7.03
8.51 7.19 7.89 7.19
45.55 6.44 6.94 6.32
155.48 7.55 8.33 7.50
51.09 2.76 3.04 2.73
129.11 7.58 8.34 7.55
241.24 5.79 6.36 5.75
3.54 8.35 9.06 8.24
32.48 14.50 15.50 13.79
11.98 3.28 3.56 3.22
97.20 11.55 12.29 10.80
134.47 11.65 13.06 11.55
70.40 1.56 1.64 1.55
3.23 14.52 15.86 14.35
9.24 7.39 7.94 7.25
6.78 10.32 11.13 10.05
85.05 3.97 4.05 3.66
3.04 15.55 17.24 15.55
42.93 4.14 4.29 3.89
104.90 4.50 4.95 4.48
33.63 35.59 38.96 35.40
38.47 21.72 23.40 21.12
54.80 5.23 5.78 5.20
16.41 9.79 10.73 9.62
18.71 4.73 5.20 4.69
126.45 3.73 4.07 3.67
14.23 5.80 6.37 5.75
12.98 29.48 32.30 29.00
43.01 10.26 10.34 9.42
43.06 5.10 5.52 5.03
29.98 4.52 4.96 4.49
398.91 6.58 7.12 6.43
50.41 6.20 6.80 6.16
15.82 11.84 13.68 11.75
96.58 8.35 8.90 7.96
144.20 23.18 25.04 23.00
6.18 21.16 22.77 20.69
34.72 8.37 9.25 8.35
32.41 8.25 9.19 8.25
26.30 6.64 7.22 6.51
26.73 4.93 5.43 4.91
93.39 6.71 6.86 6.30
83.40 9.38 10.34 9.34
43.48 5.56 5.74 5.17
58.08 13.79 15.29 13.73
77.08 5.07 5.08 4.58
4.65 7.92 8.02 7.50
2.47 71.70 73.26 66.58
65.68 14.20 15.31 13.77
10.21 8.30 9.15 8.30
9.35 10.69 11.78 10.60
5.12 14.52 15.96 14.51
207.02 4.23 4.66 4.23
104.09 7.71 8.50 7.71
6.85 12.73 13.81 12.43
54.52 3.34 3.67 3.31
23.95 5.20 5.70 5.14
11.97 29.15 32.11 29.00
56.76 11.93 13.15 11.93
69.24 2.53 2.73 2.46
134.15 13.80 15.21 13.50
7.47 10.15 10.69 9.62
18.99 9.70 10.30 9.36
8.60 73.40 80.55 73.38
53.01 7.69 8.62 7.50
25.21 5.27 5.80 5.24
197.67 3.70 4.06 3.68
1.84 9.75 10.69 9.74
87.54 8.25 8.97 8.18
14.94 4.49 4.88 4.44
22.62 3.61 3.96 3.58
28.75 6.01 6.52 5.91
8.43 8.68 9.54 8.67
39.02 3.00 3.31 2.98
70.64 9.60 10.10 9.26
128.54 7.36 8.06 7.29
11.96 6.05 6.70 6.03
13.97 7.84 8.60 7.79
17.15 7.41 8.00 7.28
3.37 9.30 10.18 9.30
7.97 19.39 20.93 19.03
8.46 5.67 6.24 5.62
14.08 6.23 6.85 6.14
42.13 6.36 7.00 6.32
153.70 3.88 4.26 3.86
219.65 6.65 7.21 6.49
19.69 3.53 3.88 3.51
108.80 4.56 4.97 4.48
13.02 3.88 4.24 3.84
17.15 13.71 15.06 13.68
47.52 6.47 7.14 6.46
4.06 7.07 7.72 7.07
83.51 29.09 32.58 28.66
1.66 12.39 13.57 12.21
49.88 5.19 5.81 5.11
5.91 9.39 10.31 9.25
3.31 21.30 23.47 21.29
3.90 15.64 16.91 15.29
2.62 10.69 11.72 10.48
15.15 12.60 12.73 11.48
32.29 9.80 11.02 9.14
11.53 17.80 19.59 17.80
7.24 6.38 6.90 6.23
6.56 9.14 9.79 8.87
4.37 8.05 8.84 7.98
2.63 21.12 23.41 21.02
6.80 15.55 16.51 14.91
3.00 21.25 23.08 20.98
17.82 61.43 67.19 60.45
3.56 9.69 10.40 9.43
3.52 7.68 8.38 7.62
3.65 9.95 10.87 9.79
4.75 6.45 6.84 6.26
3.46 12.47 13.75 12.40
11.18 42.05 43.07 39.20
3.60 23.75 25.73 23.25
2.67 9.70 10.73 9.70
1.42 17.20 18.79 17.18
8.10 8.78 9.34 8.55
1.15 14.40 15.62 14.25
26.00 41.50 41.61 39.30
6959手 26.00 28.00 25.30
4.32 14.76 16.14 14.54
2.72 14.65 15.98 14.24
1.36 22.73 24.36 22.12
9531手 22.19 24.02 21.84
3617手 96.49 106.45 96.49
1.19 32.40 34.97 31.00
8376手 17.36 19.09 17.36
14.49 17.32 17.86 16.22
2.16 29.29 32.34 28.99
3.90 15.00 16.69 14.90
3.32 12.74 13.95 12.74
4.50 11.59 12.83 11.59
1.11 28.61 31.34 28.61
4.71 11.05 12.34 11.05
17.56 9.10 9.36 8.44
7.00 10.94 11.95 10.80
6.08 8.31 9.16 8.26
1.02 27.62 30.46 27.50
122.35 2.15 2.37 2.13
1.07 32.98 35.74 32.98
5.56 33.61 34.07 30.81
3.82 15.43 16.75 15.10
4.18 34.40 36.28 33.00
42.36 13.80 14.31 12.47
7.01 42.48 46.19 40.88
1.85 14.79 16.25 14.60
9290手 21.67 23.44 21.20
8.21 20.59 21.53 19.10
6126手 60.46 65.44 59.00
3.47 14.55 16.10 14.50
4.48 11.93 13.13 11.84
3.19 11.38 12.52 11.38
2.25 13.84 15.22 13.80
2.93 25.50 28.29 25.42
9.58 14.02 15.44 13.88
16.43 13.60 14.30 13.04
2.97 16.36 18.11 16.36
29.00 5.78 6.14 5.56
20.45 16.58 17.55 15.95
3.12 9.33 10.22 9.33
21.33 5.43 5.43 4.88
22.75 11.54 12.77 11.49
2.65 6.97 7.61 6.88
15.83 7.66 8.24 7.42
2.12 51.20 53.58 48.71
101.93 10.52 11.13 9.85
2.93 23.89 25.48 23.18
2.09 27.35 29.58 26.95
4.57 20.64 22.58 20.43
9988手 39.80 43.42 39.40
2.66 24.64 27.29 24.50
2.01 19.38 20.75 18.86
6.98 9.43 10.37 9.33
4.65 19.50 21.92 19.50
8672手 22.40 24.64 22.40
1.51 100.95 109.40 99.60
2.83 20.98 23.21 20.95
3.27 6.99 7.61 6.89
4.82 10.85 11.98 10.78
13.84 9.78 10.09 9.07
21.80 7.38 7.92 7.11
5.85 13.20 14.65 13.06
1.77 11.78 12.93 11.72
7.98 20.35 20.86 18.96
8635手 79.48 86.01 77.92
2.58 23.16 25.63 22.88
-- -- 21.48 --
2.87 32.24 34.19 30.60
17.95 11.32 12.21 10.97
4.55 15.07 16.17 14.50
3.94 10.22 11.11 10.11
1.92 28.84 30.54 27.71
8.30 19.10 20.46 18.47
6013手 23.31 25.61 23.00
7727手 39.01 42.02 38.20
5189手 25.20 27.65 25.19
1.03 41.87 45.31 41.30
2.16 25.28 27.64 24.87
1.93 29.30 31.78 29.00
2.83 12.48 13.45 12.29
7.49 15.86 17.37 15.56
8695手 20.25 22.09 20.08
13.54 5.09 5.67 5.05
1.10 64.08 70.32 63.93
3.99 16.30 17.16 15.61
1.30 48.40 52.20 47.28
2.12 47.89 51.71 46.92
1.10 19.81 21.63 19.65
2.45 12.92 14.09 12.59
1.36 19.16 21.05 19.10
2.26 61.40 67.50 61.31
7.99 21.70 23.77 21.39
1.48 21.80 23.29 20.95
1.98 17.44 19.54 17.28
1.92 11.08 12.23 11.04
3.81 18.86 20.06 18.28
1.61 17.73 19.51 17.60
4.83 89.70 96.25 87.49
3.54 12.13 13.23 12.01
4.36 15.46 16.52 14.91
6.58 6.97 7.49 6.72
21.85 9.41 9.41 8.55
4.70 15.58 16.69 15.24
3.24 31.41 34.33 31.29
4.73 19.92 20.12 18.30
5.29 11.60 12.66 11.51
4.22 18.78 19.99 17.99
3.02 12.43 13.48 12.18
3.17 29.70 31.79 28.85
1.54 14.79 16.34 14.79
2.99 9.46 10.25 9.32
13.96 22.75 24.81 22.70
1.05 24.92 27.45 24.92
3.59 21.30 22.41 20.10
5.58 8.97 9.65 8.76
2.58 36.40 40.15 36.40
34.04 7.93 8.57 7.74
1.87 12.15 13.30 12.09
12.62 11.68 12.87 11.68
1.22 24.95 27.29 24.41
8738手 17.82 19.54 17.66
8.75 9.32 9.89 9.32
7.45 7.08 7.79 7.02
8.32 19.75 21.24 19.20
1.36 40.95 44.99 40.80
1.35 83.00 89.24 81.00
1.90 18.34 20.21 18.34
1.71 42.10 45.82 41.37
1.80 27.08 29.92 27.08
6.09 21.97 23.91 21.62
2.39 14.54 15.85 14.39
2.40 20.72 22.87 20.72
11.64 27.50 30.58 27.50
18.59 18.51 18.75 17.33
4.19 19.09 20.63 18.72
8.58 4.95 5.43 4.91
9.42 19.08 20.47 18.50
6.14 37.10 38.84 34.92
16.11 29.20 31.22 28.00
3.69 17.15 18.61 16.83
8.04 18.50 18.93 17.37
2.19 18.34 19.72 17.92
4.18 122.44 132.00 113.01
4.06 11.19 12.36 11.19
5.15 18.38 20.22 18.38
6.06 41.88 43.68 39.40
1.70 13.06 14.34 12.99
24.53 13.55 13.98 13.09
1.85 45.56 49.35 44.50
7651手 41.30 44.75 41.10
1.96 14.41 15.87 14.41
7.61 12.16 13.44 12.16
9021手 31.47 34.24 31.13
4.35 29.32 32.02 28.96
1.88 37.95 40.94 37.95
1.90 228.00 228.24 228.00
8.50 9.59 10.21 9.28
3.23 39.19 42.16 38.30
3.36 19.18 21.24 19.17
4.82 9.51 10.36 9.30
3.69 9.60 10.65 9.60
1.82 33.98 36.63 33.30
3.39 28.85 31.13 28.30
2.68 14.01 15.49 13.90
2.78 55.88 60.84 55.08
4.76 18.56 20.13 18.27
1.15 25.94 28.55 25.83
1.31 46.88 49.59 44.90
3.12 38.22 41.11 37.43
1.93 48.20 52.15 47.48
2.17 18.34 20.01 18.09
10.25 12.53 12.53 11.35
1.03 32.17 35.27 31.78
2.65 13.25 14.66 13.20
7.32 8.64 9.43 8.53
2.79 23.16 25.39 23.08
3.29 23.26 25.20 22.71
11.37 12.80 13.78 12.48
12.06 24.80 25.66 22.10
5.73 8.00 8.82 8.00
3.61 16.44 18.19 16.35
10.69 11.04 11.69 10.63
4.70 11.16 12.32 11.12
3.87 24.68 27.25 24.60
2.56 15.20 16.68 15.10
5.86 14.43 15.32 14.07
8.26 28.53 28.53 26.11
2.32 14.50 15.72 14.29
23.88 18.96 18.96 16.96
1.55 23.35 24.86 22.67
1.81 39.92 43.01 39.17
9251手 19.37 21.14 19.22
1.83 27.00 29.24 26.38
2.31 16.70 17.91 15.90
15.04 12.48 13.43 12.30
4.44 56.30 61.37 55.00
1.27 42.60 46.68 42.30
6.42 11.64 12.78 11.61
10.22 20.18 20.81 18.89
2.05 10.32 11.23 10.28
2.85 9.77 10.34 9.40
4.13 36.67 40.48 36.66
3.24 18.81 20.58 18.61
1.55 72.76 78.57 71.10
13.88 12.94 13.33 12.29
2.61 22.87 25.38 22.87
4.72 10.50 11.35 10.32
8.73 10.76 11.88 10.70
3.36 19.48 20.40 18.87
6.63 15.87 17.53 15.85
2.14 10.60 11.58 10.55
4.99 12.91 14.25 12.91
1.88 20.23 21.92 19.86
15.94 7.12 7.98 7.11
8.19 20.19 22.55 20.12
8.87 10.78 11.36 10.35
3.17 9.63 10.41 9.40
3.25 17.18 18.95 17.13
1.80 13.90 15.06 13.62
12.05 13.96 15.51 13.86
1.61 17.59 19.12 17.38
9999手 31.30 33.45 30.43
6.76 42.01 43.82 38.78
10.54 14.57 15.76 14.00
1.28 18.55 20.34 18.31
1.88 69.93 74.25 66.58
1.12 52.68 57.75 52.53
3.55 24.20 26.51 24.09
1.87 39.68 41.45 37.52
1.04 20.87 22.98 20.71
6746手 28.84 31.28 28.44
3.11 10.28 11.13 10.15
10.42 11.17 11.53 11.00
5.15 14.12 14.91 13.59
8.76 14.36 15.26 13.85
2.07 15.45 16.98 15.31
4.31 21.43 23.12 20.95
2.13 40.76 42.72 40.10
3.74 16.50 17.71 16.15
1.33 17.55 19.23 17.38
3.95 15.12 16.63 15.12
1.84 16.57 17.96 16.23
4.81 12.26 13.53 12.21
2.75 21.60 23.84 21.55
2.02 15.04 16.57 15.00
1.89 19.12 21.01 19.10
2.84 13.42 14.36 12.95
2.44 14.55 16.19 14.55
2.48 12.18 13.05 11.86
3.81 36.48 39.82 36.20
2.49 25.72 27.43 25.00
2.18 30.99 33.64 30.58
21.34 30.86 30.86 29.00
4.13 11.65 12.89 11.64
8.97 14.33 15.10 13.61
4.95 26.66 28.78 26.12
2.49 28.30 30.60 27.60
1.83 13.34 14.66 13.34
2.38 21.09 23.20 21.09
2.08 16.57 18.06 16.41
4.63 14.76 15.99 14.44
2.50 22.69 24.97 22.69
2.80 29.40 30.47 27.68
9284手 68.55 72.93 66.30
2.06 16.35 17.81 15.97
1.51 24.41 26.87 24.41
8.39 7.62 8.01 7.36
17.04 5.46 5.86 5.33
3.93 8.44 9.25 8.33
2.05 14.21 15.55 14.04
2.12 26.37 28.82 25.81
3.44 12.48 13.65 12.32
7.15 5.23 5.80 5.22
2.20 16.00 17.25 15.50
3.82 12.40 13.77 12.33
6.08 18.13 18.80 17.15
2.44 13.39 14.76 13.32
1.66 14.65 16.06 14.65
1.60 12.44 13.60 12.29
-- -- 46.68 --
3.92 14.67 15.84 14.31
2.59 40.39 43.93 39.69
5.54 12.80 14.11 12.76
1.32 33.63 36.96 33.01
3.60 19.14 20.98 19.01
2.01 18.90 20.77 18.85
3.62 21.10 22.55 20.27
1.35 21.62 23.70 21.57
3.34 57.20 61.29 55.70
3.16 8.45 9.26 8.38
3.12 9.08 9.85 8.90
1.67 18.33 19.80 18.00
8364手 31.02 33.76 31.02
22.24 33.70 34.46 30.21
2.97 16.80 18.25 16.39
4.51 17.20 18.82 17.13
6.48 10.75 11.61 10.43
3.34 13.00 14.01 12.69
1.91 128.58 132.02 119.89
2.45 10.14 11.17 10.14
6.32 13.60 14.41 13.20
14.55 11.18 12.17 11.18
1.70 20.16 22.18 20.16
3.39 10.24 10.78 9.75
5.24 12.72 14.09 12.72
14.20 33.60 36.19 32.63
3.48 29.50 31.91 28.50
3916手 29.85 32.55 29.60
5.76 13.13 14.09 12.70
1.33 54.98 60.43 54.70
2.04 47.15 50.91 46.29
2.16 22.47 24.62 22.17
1.85 21.42 23.52 21.25
2.13 15.34 16.72 15.05
2.67 12.33 13.54 12.20
3.21 14.92 15.90 14.45
4.37 40.00 44.50 39.99
1.89 34.11 37.20 33.40
1.39 62.33 66.98 60.84
15.88 15.90 17.00 15.33
1.69 23.41 25.73 23.38
1.58 19.49 20.92 19.10
35.79 33.38 34.52 32.60
2.06 11.03 12.09 10.99
1.93 15.05 16.45 14.82
4.26 43.33 47.60 42.00
3.35 22.20 23.78 21.57
4.71 36.97 38.79 35.00
8.15 16.60 17.70 15.94
2.77 8.41 9.23 8.34
1.60 25.17 27.63 25.04
2.52 10.57 11.48 10.43
1.60 28.78 31.89 28.78
1.17 27.21 29.93 27.13
5.05 18.15 20.04 17.90
3.23 15.05 16.43 14.82
7.49 14.18 15.18 13.66
2.10 15.64 16.90 15.36
3.67 16.32 17.53 15.82
4.37 14.56 16.14 14.49
4.79 22.95 24.57 22.37
3.06 20.46 21.26 19.01
3.34 15.84 17.46 15.80
3.40 20.19 22.30 20.17
1.50 21.19 23.33 21.13
1.84 19.98 21.82 19.80
5.45 13.74 15.28 13.74
2.74 23.80 26.33 23.80
3.51 61.66 64.19 59.80
1.63 18.77 20.71 18.70
2.50 9.89 10.74 9.80
7.48 22.50 23.35 21.33
7122手 38.00 41.26 36.91
9.51 20.47 20.57 18.52
7.20 14.53 14.53 13.12
5.22 17.65 19.55 17.58
13.29 6.19 6.84 6.17
3.58 18.04 19.89 18.00
1.95 20.48 22.53 20.48
4.19 9.82 9.82 9.82
3.27 22.40 24.81 22.18
5.65 10.13 11.18 10.05
25.87 21.09 22.21 19.68
1.54 28.25 29.70 27.32
4.55 109.84 121.39 109.51
8.14 8.38 8.97 8.05
2.50 12.33 13.48 12.25
2.23 21.45 23.27 21.19
5942手 55.95 58.37 53.02
6725手 23.49 25.73 23.16
124.62 4.98 5.46 4.91
11.06 11.98 12.56 11.88
6.26 11.34 12.17 11.08
1.97 10.37 10.37 10.37
13.64 6.85 7.62 6.85
94.71 13.88 15.19 13.75
-- -- -- --
14.19 3.94 4.33 3.93
8.48 7.58 8.20 7.43
64.99 4.93 5.44 4.89
36.15 6.85 7.56 6.72
6.49 3.85 4.21 3.82
-- -- -- --
-- -- -- --
31.07 5.60 6.19 5.55
9.64 5.56 6.01 5.44
47.83 2.89 3.07 2.79
39.90 9.60 10.43 9.38
-- -- 18.11 --
2.76 16.23 17.70 16.10
-- -- 44.55 --
5.71 9.04 9.90 8.92
14.97 6.48 7.07 6.42
3.11 51.42 55.17 50.15
-- -- 12.29 --
3.92 10.22 11.22 10.20
38.80 1.77 1.79 1.67
12.73 5.36 5.83 5.27
19.13 8.12 8.91 8.06
8.46 14.38 15.31 13.99
14.46 15.73 17.39 15.60
20.80 8.33 9.12 8.18
8590手 22.58 22.57 21.53
47.52 16.14 17.78 15.90
33.34 7.63 8.44 7.57
75.22 5.82 6.41 5.76
4.36 23.94 26.09 23.78
180.46 32.25 33.22 30.15
120.50 10.68 11.19 10.10
22.81 6.15 6.78 6.08
77.32 9.03 9.89 8.94
12.12 6.92 7.56 6.85
22.27 9.43 10.31 9.31
1.00 11.59 12.78 11.50
11.86 8.59 9.31 8.46
12.18 7.80 8.00 7.25
12.92 5.21 5.63 5.05
13.35 12.25 13.59 12.20
114.67 5.67 6.00 5.40
162.94 14.07 14.07 13.68
15.40 6.68 7.27 6.58
122.22 14.25 15.25 13.70
49.98 20.08 21.58 20.00
17.13 9.36 10.23 9.23
-- -- -- --
-- -- -- --
15.78 8.44 9.34 8.33
-- -- -- --
131.09 6.34 6.81 6.25
14.58 5.63 6.18 5.59
12.18 5.85 6.40 5.82
4.87 5.53 6.05 5.48
22.02 2.91 3.17 2.88
13.26 51.89 55.75 50.68
211.15 5.18 5.36 4.82
4.75 3.46 3.78 3.43
6.56 9.17 10.09 9.15
3.21 6.95 7.60 6.91
56.82 7.56 8.33 7.48
15.48 13.05 13.45 12.23
2.01 9.86 10.87 9.86
3.13 16.74 18.08 16.44
14.36 6.98 7.55 6.80
57.16 4.03 4.22 3.83
-- -- -- --
118.53 3.75 3.75 3.55
19.59 5.83 6.23 5.58
81.26 0.68 0.70 0.64
10.11 37.38 39.61 36.00
77.89 6.82 6.82 6.21
-- -- -- --
37.93 4.57 4.57 4.20
25.73 9.05 9.99 9.00
34.75 4.17 4.55 4.08
-- -- -- --
7.97 5.97 6.55 5.97
5.72 8.78 9.41 8.57
17.39 17.53 19.12 17.01
-- -- -- --
85.38 8.31 8.81 8.02
19.76 4.96 5.39 4.89
38.38 8.62 8.62 7.76
17.10 12.98 13.70 12.34
31.28 3.91 4.24 3.78
6.69 11.08 12.12 10.95
-- -- -- --
19.47 10.56 11.62 10.48
9.92 4.87 5.35 4.86
13.75 6.54 7.02 6.39
13.11 5.54 6.06 5.50
7.79 6.72 7.36 6.61
20.97 4.19 4.59 4.13
13.55 11.08 12.21 11.00
-- -- -- --
14.92 8.45 8.81 7.98
17.13 7.08 7.89 7.07
14.27 13.20 14.59 13.19
-- -- -- --
26.73 4.68 5.03 4.52
22.41 7.20 7.74 7.01
12.69 8.16 9.01 8.16
117.79 5.53 6.11 5.48
111.33 4.17 4.53 4.03
46.75 7.88 7.88 6.95
45.95 4.04 4.44 3.94
75.29 2.95 3.05 2.73
11.25 3.86 4.27 3.85
-- -- -- --
28.78 26.45 26.65 24.03
-- -- -- --
10.62 3.14 3.22 3.05
30.57 12.40 12.41 11.33
115.45 3.64 3.72 3.37
-- -- -- --
12.34 4.49 4.83 4.36
27.45 17.27 19.80 16.94
25.56 4.35 4.71 4.29
74.94 4.18 4.43 4.04
-- -- -- --
17.36 3.98 4.38 3.98
10.81 14.44 15.31 13.92
71.23 5.26 5.54 5.00
33.45 5.79 6.34 5.68
9.56 8.06 8.75 7.94
7.57 5.27 5.73 5.15
-- -- -- --
3.95 11.21 12.23 11.01
10.56 8.09 8.78 7.98
3.63 7.60 8.36 7.32
11.40 6.93 7.46 6.70
97.05 18.77 18.88 16.86
11.67 4.65 5.05 4.61
8.89 5.18 5.72 5.18
29.06 8.44 8.89 8.00
28.03 7.44 7.91 7.11
75.39 4.13 4.24 3.81
7.09 14.64 15.65 14.22
-- -- -- --
13.03 5.12 5.56 5.05
59.34 7.52 7.52 6.87
19.26 19.11 20.60 18.70
121.05 10.41 10.42 9.38
5.30 9.43 10.22 9.28
25.72 7.37 8.04 7.27
17.13 12.54 12.86 11.58
11.01 3.92 4.29 3.85
8.52 5.13 5.62 5.07
18.92 6.89 7.43 6.68
28.53 5.44 6.06 5.31
24.76 7.63 8.01 7.30
6.66 10.25 11.25 10.06
53.47 7.56 7.89 7.21
322.88 57.12 57.12 57.12
30.41 4.71 5.06 4.62
-- -- -- --
63.53 8.40 9.01 8.13
-- -- -- --
-- -- -- --
2.28 316.27 336.60 307.14
10.91 7.37 8.06 7.25
10.42 14.56 16.14 14.54
60.09 4.81 5.03 4.71
33.63 8.57 9.27 8.40
42.25 14.69 15.72 14.28
-- -- -- --
12.72 11.53 12.65 11.40
32.77 4.45 4.85 4.36
36.63 4.44 4.75 4.28
7.61 27.70 30.69 27.61
71.86 10.96 11.95 10.90
2.96 12.63 13.88 12.61
-- -- -- --
29.37 8.07 8.91 8.07
20.48 4.06 4.52 4.01
5.08 14.29 15.76 14.29
24.63 5.05 5.47 4.89
-- -- -- --
12.66 4.16 4.46 4.03
7.19 8.01 8.81 7.93
6.23 7.06 7.72 6.95
13.20 8.74 9.03 8.20
13.36 4.49 4.71 4.46
63.25 3.60 3.98 3.59
2.60 44.79 47.49 43.13
16.46 7.32 7.98 7.22
10.35 6.42 6.95 6.30
2.23 9.48 10.40 9.43
44.94 5.55 5.78 5.21
111.31 6.33 7.06 6.31
33.69 4.34 4.72 4.34
5.71 9.23 10.11 9.20
15.07 6.60 6.84 6.47
71.14 6.86 7.38 6.50
858.92 3.98 4.27 3.86
7.86 11.15 12.05 10.91
57.54 11.13 12.26 11.10
62.48 8.00 8.68 7.81
-- -- -- --
9.65 7.45 8.07 7.28
16.78 20.59 22.32 20.28
7.86 16.19 17.65 16.05
98.86 13.58 14.77 13.28
14.32 12.40 12.40 11.31
8.99 5.12 5.30 4.98
-- -- 22.34 --
301.45 6.70 7.00 6.27
3978手 8.22 9.08 8.22
12.63 5.23 5.78 5.22
8.10 6.11 6.63 6.00
29.72 5.26 5.71 5.18
8.34 8.35 8.95 8.14
25.02 4.51 4.95 4.51
12.81 9.14 10.04 9.14
68.12 12.36 12.73 11.50
12.03 16.55 18.04 16.24
10.73 4.03 4.36 3.96
5.86 5.60 6.16 5.57
10.95 11.39 12.09 10.98
-- -- -- --
40.87 16.77 18.16 16.60
14.83 6.68 7.44 6.68
29.88 7.59 8.26 7.40
57.92 4.70 5.13 4.62
8.91 6.06 6.66 6.03
3.41 7.36 8.09 7.34
-- -- 9.28 --
22.91 7.27 7.95 7.12
15.67 13.55 14.92 13.55
60.09 5.15 5.27 4.95
104.63 5.85 6.35 5.67
26.74 11.82 13.21 11.81
38.98 9.61 9.61 8.70
23.79 4.96 5.49 4.94
61.36 14.45 15.63 13.60
47.25 2.69 2.74 2.63
36.40 7.31 7.68 6.99
12.74 10.23 11.20 10.09
63.46 5.50 6.05 5.50
5.45 10.28 11.30 10.27
-- -- -- --
51.24 4.68 4.76 4.29
17.58 9.88 10.29 9.32
102.47 8.47 8.69 7.84
16.23 10.30 11.41 10.28
15.21 17.85 19.71 17.85
67.31 110.03 121.02 106.00
130.12 7.86 8.02 7.05
11.28 60.68 65.88 59.15
17.70 3.18 3.51 3.17
10.53 5.16 5.67 5.11
-- -- -- --
37.47 3.80 4.04 3.60
5.56 33.97 36.21 32.70
40.69 3.31 3.65 3.29
43.92 14.84 16.02 14.49
32.63 11.06 12.33 11.00
3.13 9.99 11.02 9.95
69.84 3.53 3.86 3.46
5.66 9.80 10.74 9.64
10.73 7.63 8.39 7.61
5.23 12.78 13.95 12.68
9.85 5.70 6.16 5.57
16.07 7.51 7.51 7.51
23.69 28.05 30.23 27.16
27.70 2.65 2.75 2.61
12.36 11.35 12.23 11.06
25.79 3.24 3.55 3.21
29.94 9.68 10.30 9.34
28.28 6.65 6.86 6.18
-- -- 10.05 --
8.34 16.43 17.52 16.00
19.95 8.31 8.31 8.31
21.37 8.05 8.30 7.72
6.19 11.70 13.06 11.67
6.15 25.50 26.72 24.28
32.64 8.81 9.78 8.80
8.26 7.78 8.54 7.78
9.91 8.75 9.17 8.33
6.88 8.33 9.12 8.30
13.08 12.21 12.21 12.20
9.00 19.54 21.54 19.54
9.44 8.23 9.15 8.23
25.24 8.32 9.12 8.26
76.87 6.22 6.22 5.79
28.16 7.22 7.78 7.05
3.56 8.94 9.78 8.80
70.86 9.50 10.01 9.01
22.03 9.76 10.55 9.52
124.97 9.06 10.08 8.85
52.32 5.50 6.02 5.37
11.17 19.04 21.01 18.90
33.17 4.55 4.99 4.53
6.38 44.45 48.68 43.95
17.74 3.60 3.82 3.46
52.77 7.40 7.40 6.70
20.39 22.60 22.66 21.50
4.68 4.83 4.85 4.63
-- -- -- --
50.21 9.03 9.58 8.46
1.03 6.52 6.52 6.52
12.46 4.61 5.08 4.58
25.12 12.77 14.03 12.69
9.78 8.84 9.79 8.84
19.46 4.85 5.37 4.84
33.83 4.86 5.19 4.66
5.28 14.43 15.69 14.28
24.76 8.12 8.71 7.80
32.31 11.65 12.43 11.22
33.62 4.12 4.25 4.00
49.69 5.75 6.05 5.41
16.97 11.20 12.10 11.07
31.88 6.37 6.61 5.98
5.81 6.97 7.61 6.95
215.31 0.230 0.23 0.210
56.56 6.37 6.63 5.91
175.26 5.17 5.82 5.17
25.06 1.72 1.72 1.63
47.99 6.73 7.38 6.65
12.72 11.47 12.85 11.43
19.07 15.62 17.20 15.53
58.81 33.69 35.42 31.66
14.17 8.28 9.06 8.24
1362手 6.05 6.05 6.05
15.19 18.75 20.17 18.34
14.18 15.79 17.18 15.49
5.92 29.90 32.68 29.50
41.27 7.63 8.02 7.20
8.91 4.10 4.46 4.08
92.83 6.24 6.71 6.05
7.46 8.15 8.93 8.08
36.66 2.88 3.09 2.82
13.04 46.93 50.73 46.16
20.50 42.35 46.92 42.35
13.82 11.27 11.90 10.88
39.15 6.24 6.91 6.11
39.69 8.29 9.19 8.23
6.33 8.95 9.42 8.51
6.40 6.29 6.83 6.21
35.90 17.05 18.59 16.33
23.07 1.42 1.48 1.40
14.55 3.38 3.71 3.38
2.82 28.05 30.79 27.89
8.33 7.17 7.93 7.13
